chr	gene	ratio	observed_state	hidden_state
chr1	Mrpl15	0.7033639143730887	3.0	1
chr1	Lypla1	0.9893617021276596	5.0	1
chr1	Atp6v1h	0.9765258215962441	5.0	1
chr1	Rb1cc1	0.7910447761194029	3.0	1
chr1	Pcmtd1	0.9666666666666667	5.0	1
chr1	Rrs1	0.8420131291028445	4.0	1
chr1	Sgk3	0.7350877192982456	3.0	1
chr1	Cops5	0.9724137931034482	5.0	1
chr1	Cspp1	0.9979550102249488	5.0	1
chr1	Ncoa2	0.9389671361502346	5.0	1
chr1	Tram1	0.9591836734693877	5.0	1
chr1	Lactb2	0.9736842105263158	5.0	1
chr1	Terf1	0.9595115681233933	5.0	1
chr1	Rpl7	0.97265625	5.0	1
chr1	Rdh10	0.8472222222222222	4.0	1
chr1	Tmem70	0.8158888888888889	4.0	1
chr1	Mcm3	0.7823785536991844	3.0	1
chr1	Ogfrl1	1.0	5.0	1
chr1	Sdhaf4	0.9640522875816994	5.0	1
chr1	Lmbrd1	1.0	5.0	1
chr1	Prim2	0.9969135802469136	5.0	1
chr1	Rab23	0.9857142857142858	5.0	1
chr1	Bag2	0.9905708460754331	5.0	1
chr1	Zfp451	0.9818181818181818	5.0	1
chr1	Dst	0.9568421052631579	5.0	1
chr1	Ccdc115	0.9772727272727273	5.0	1
chr1	Imp4	0.9860515021459227	5.0	1
chr1	Ptpn18	0.9318181818181818	5.0	1
chr1	Cfc1	0.9531113058720421	5.0	1
chr1	Uggt1	0.9772727272727273	5.0	1
chr1	Kansl3	0.5865384615384616	1.0	1
chr1	Cnnm3	1.0	5.0	1
chr1	Ankrd39	0.9761904761904762	5.0	1
chr1	Cox5b	0.7769526952695268	3.0	1
chr1	Actr1b	0.7713895394223262	3.0	1
chr1	Tmem131	0.9879518072289156	5.0	1
chr1	Coa5	0.6388888888888888	2.0	1
chr1	Pdcl3	0.9790969899665551	5.0	1
chr1	Rpl31	0.8310344827586207	4.0	1
chr1	Cnot11	0.9333333333333333	5.0	1
chr1	Rnf149	0.9301075268817204	5.0	1
chr1	Map4k4	0.9971098265895953	5.0	1
chr1	Mrps9	0.9839255499153977	5.0	1
chr1	Fhl2	0.9777777777777777	5.0	1
chr1	Uxs1	0.9854014598540146	5.0	1
chr1	Tpp2	0.9782608695652174	5.0	1
chr1	Tex30	0.5621980676328502	1.0	1
chr1	Bivm	0.9726027397260274	5.0	1
chr1	Ercc5	0.5980392156862745	1.0	1
chr1	Col5a2	0.9629629629629629	5.0	1
chr1	Wdr75	0.9733752620545073	5.0	1
chr1	Slc40a1	0.8936170212765957	4.0	1
chr1	Slc39a10	0.9705882352941176	5.0	1
chr1	Myo1b	0.8200883002207505	4.0	1
chr1	Gls	1.0	5.0	1
chr1	Nab1	1.0	5.0	1
chr1	Inpp1	0.9787234042553191	5.0	1
chr1	Osgepl1	0.9788732394366197	5.0	1
chr1	Asnsd1	0.9912280701754386	5.0	1
chr1	Gtf3c3	0.8411764705882353	4.0	1
chr1	Pgap1	0.9743589743589743	5.0	1
chr1	Sf3b1	0.9925742574257426	5.0	1
chr1	Coq10b	0.9833333333333333	5.0	1
chr1	Hspd1	0.9835164835164835	5.0	1
chr1	Hspe1	0.6505504855678065	2.0	1
chr1	Tyw5	0.9710982658959537	5.0	1
chr1	Bzw1	0.9359562841530054	5.0	1
chr1	Clk1	0.8630769230769232	4.0	1
chr1	Ppil3	1.0	5.0	1
chr1	Nif3l1	0.9699872286079182	5.0	1
